,Lon_N,Lat_N,Lon_S,Lat_S
205,146.539,75.2342,282.737,-81.0147
206,146.536,75.2531,282.61,-81.0286
207,146.533,75.2719,282.482,-81.0426
208,146.53,75.2907,282.354,-81.0565
209,146.527,75.3094,282.226,-81.0704
210,146.523,75.3282,282.097,-81.0843
211,146.52,75.3469,281.969,-81.0982
212,146.516,75.3657,281.84,-81.1121
213,146.512,75.3844,281.711,-81.126
214,146.509,75.4031,281.582,-81.1399
215,146.505,75.4217,281.453,-81.1538
216,146.501,75.4404,281.323,-81.1677
217,146.497,75.459,281.194,-81.1817
218,146.493,75.4776,281.064,-81.1956
219,146.489,75.4962,280.933,-81.2095
220,146.485,75.5148,280.803,-81.2234
221,146.48,75.5334,280.673,-81.2373
222,146.476,75.552,280.542,-81.2512
223,146.471,75.5705,280.411,-81.2651
224,146.467,75.5891,280.28,-81.279
225,146.462,75.6076,280.149,-81.2929
226,146.457,75.6261,280.017,-81.3068
227,146.452,75.6446,279.885,-81.3207
228,146.447,75.663,279.753,-81.3345
229,146.442,75.6815,279.621,-81.3484
230,146.437,75.7,279.489,-81.3623
231,146.432,75.7184,279.356,-81.3762
232,146.427,75.7368,279.223,-81.3901
233,146.421,75.7552,279.09,-81.404
234,146.416,75.7736,278.957,-81.4179
235,146.41,75.792,278.824,-81.4317
236,146.404,75.8104,278.69,-81.4456
237,146.399,75.8288,278.556,-81.4595
238,146.393,75.8471,278.422,-81.4734
239,146.387,75.8655,278.288,-81.4872
240,146.381,75.8838,278.154,-81.5011
241,146.375,75.9021,278.019,-81.515
242,146.369,75.9204,277.884,-81.5288
243,146.362,75.9388,277.749,-81.5427
244,146.356,75.957,277.614,-81.5565
245,146.349,75.9753,277.478,-81.5704
246,146.343,75.9936,277.342,-81.5842
247,146.336,76.0119,277.206,-81.5981
248,146.33,76.0301,277.07,-81.6119
249,146.323,76.0484,276.933,-81.6258
250,146.316,76.0666,276.797,-81.6396
251,146.309,76.0849,276.66,-81.6534
252,146.302,76.1031,276.523,-81.6673
253,146.295,76.1213,276.385,-81.6811
254,146.287,76.1395,276.248,-81.6949
255,146.28,76.1577,276.11,-81.7087
256,146.273,76.1759,275.972,-81.7226
257,146.265,76.1941,275.833,-81.7364
258,146.257,76.2123,275.695,-81.7502
259,146.25,76.2305,275.556,-81.764
260,146.242,76.2487,275.417,-81.7778
261,146.234,76.2668,275.278,-81.7916
262,146.226,76.285,275.138,-81.8054
263,146.218,76.3032,274.999,-81.8192
264,146.21,76.3213,274.859,-81.833
265,146.202,76.3394,274.719,-81.8467
266,146.193,76.3576,274.578,-81.8605
267,146.185,76.3757,274.438,-81.8743
268,146.176,76.3939,274.297,-81.8881
269,146.168,76.412,274.156,-81.9018
270,146.159,76.4301,274.014,-81.9156
271,146.151,76.4482,273.872,-81.9293
272,146.142,76.4664,273.731,-81.9431
273,146.133,76.4845,273.589,-81.9568
274,146.124,76.5026,273.446,-81.9706
275,146.115,76.5207,273.303,-81.9843
276,146.106,76.5388,273.161,-81.9981
277,146.096,76.5569,273.017,-82.0118
278,146.087,76.575,272.874,-82.0255
279,146.078,76.5931,272.73,-82.0392
280,146.068,76.6112,272.587,-82.0529
281,146.059,76.6293,272.442,-82.0666
282,146.049,76.6474,272.298,-82.0803
283,146.039,76.6655,272.153,-82.094
284,146.029,76.6835,272.008,-82.1077
285,146.019,76.7016,271.863,-82.1214
286,146.009,76.7197,271.718,-82.1351
287,145.999,76.7378,271.572,-82.1487
288,145.989,76.7559,271.426,-82.1624
289,145.979,76.774,271.28,-82.176
290,145.969,76.7921,271.133,-82.1897
291,145.958,76.8101,270.987,-82.2033
292,145.948,76.8282,270.84,-82.217
293,145.937,76.8463,270.692,-82.2306
294,145.927,76.8644,270.545,-82.2442
295,145.916,76.8825,270.397,-82.2578
296,145.905,76.9006,270.249,-82.2714
297,145.895,76.9187,270.1,-82.2853
298,145.884,76.9368,269.952,-82.2991
299,145.873,76.9548,269.803,-82.3121
300,145.862,76.9729,269.654,-82.3258
301,145.85,76.991,269.504,-82.3394
302,145.839,77.0091,269.354,-82.353
303,145.828,77.0272,269.204,-82.3665
304,145.816,77.0453,269.054,-82.3801
305,145.805,77.0634,268.903,-82.3936
306,145.794,77.0816,268.752,-82.4071
307,145.782,77.0997,268.601,-82.4207
308,145.77,77.1178,268.45,-82.4342
309,145.759,77.1359,268.298,-82.4477
310,145.747,77.154,268.146,-82.4612
311,145.735,77.1721,267.994,-82.4747
312,145.723,77.1903,267.841,-82.4882
313,145.711,77.2084,267.688,-82.5017
314,145.699,77.2265,267.535,-82.5151
315,145.687,77.2447,267.381,-82.5286
316,145.674,77.2628,267.228,-82.5421
317,145.662,77.281,267.073,-82.5555
318,145.65,77.2991,266.919,-82.5689
319,145.637,77.3173,266.764,-82.5823
320,145.625,77.3354,266.609,-82.5958
321,145.612,77.3536,266.454,-82.6092
322,145.6,77.3718,266.298,-82.6226
323,145.587,77.39,266.143,-82.6359
324,145.574,77.4081,265.986,-82.6493
325,145.561,77.4263,265.83,-82.6627
326,145.549,77.4445,265.673,-82.676
327,145.536,77.4627,265.516,-82.6894
328,145.523,77.4809,265.358,-82.7027
329,145.51,77.4991,265.201,-82.716
330,145.496,77.5174,265.042,-82.7293
331,145.483,77.5356,264.884,-82.7427
332,145.47,77.5538,264.725,-82.7559
333,145.457,77.572,264.566,-82.7692
334,145.443,77.5903,264.407,-82.7825
335,145.43,77.6086,264.247,-82.7958
336,145.416,77.6268,264.087,-82.809
337,145.403,77.6451,263.927,-82.8222
338,145.389,77.6633,263.766,-82.8354
339,145.376,77.6816,263.605,-82.8487
340,145.362,77.6999,263.444,-82.8619
341,145.348,77.7182,263.282,-82.8751
342,145.334,77.7365,263.12,-82.8882
343,145.321,77.7548,262.958,-82.9014
344,145.307,77.7731,262.795,-82.9145
345,145.293,77.7915,262.632,-82.9277
346,145.279,77.8098,262.469,-82.9408
347,145.265,77.8282,262.305,-82.9539
348,145.251,77.8465,262.141,-82.967
349,145.236,77.8649,261.977,-82.9801
350,145.222,77.8832,261.812,-82.9932
351,145.208,77.9016,261.647,-83.0062
352,145.194,77.92,261.482,-83.0193
353,145.179,77.9384,261.316,-83.0323
354,145.165,77.9568,261.15,-83.0454
355,145.15,77.9752,260.983,-83.0584
356,145.136,77.9937,260.816,-83.0714
357,145.121,78.0121,260.649,-83.0843
358,145.107,78.0305,260.482,-83.0973
359,145.092,78.049,260.314,-83.1102
360,145.078,78.0675,260.146,-83.1232
361,145.063,78.0859,259.977,-83.1361
362,145.048,78.1044,259.808,-83.149
363,145.033,78.1229,259.639,-83.1619
364,145.019,78.1414,259.469,-83.1748
365,145.004,78.1599,259.299,-83.1876
366,144.989,78.1785,259.129,-83.2005
367,144.974,78.197,258.958,-83.2133
368,144.959,78.2155,258.787,-83.2261
369,144.944,78.2341,258.615,-83.2389
370,144.929,78.2527,258.444,-83.2517
371,144.914,78.2712,258.271,-83.2645
372,144.899,78.2898,258.099,-83.2772
373,144.884,78.3084,257.926,-83.29
374,144.869,78.327,257.752,-83.3027
375,144.854,78.3457,257.579,-83.3154
376,144.838,78.3643,257.404,-83.3281
377,144.823,78.383,257.23,-83.3407
378,144.808,78.4016,257.055,-83.3534
379,144.793,78.4203,256.88,-83.366
380,144.777,78.439,256.704,-83.3786
381,144.762,78.4577,256.528,-83.3912
382,144.747,78.4764,256.351,-83.4038
383,144.731,78.4951,256.174,-83.4163
384,144.716,78.5138,255.997,-83.4289
385,144.701,78.5326,255.819,-83.4414
386,144.685,78.5513,255.641,-83.4539
387,144.67,78.5701,255.463,-83.4664
388,144.654,78.5889,255.284,-83.4789
389,144.639,78.6076,255.105,-83.4913
390,144.623,78.6264,254.925,-83.5037
391,144.608,78.6453,254.745,-83.5161
392,144.592,78.6641,254.564,-83.5285
393,144.577,78.6829,254.383,-83.5409
394,144.561,78.7018,254.202,-83.5532
395,144.546,78.7206,254.02,-83.5656
396,144.53,78.7395,253.838,-83.5779
397,144.514,78.7584,253.656,-83.5902
398,144.499,78.7773,253.473,-83.6024
399,144.483,78.7962,253.289,-83.6147
400,144.468,78.8152,253.105,-83.6269
401,144.452,78.8341,252.921,-83.6391
402,144.436,78.8531,252.736,-83.6513
403,144.421,78.872,252.551,-83.6634
404,144.405,78.891,252.366,-83.6756
405,144.39,78.91,252.18,-83.6877
406,144.374,78.929,251.994,-83.6998
407,144.358,78.9481,251.807,-83.7119
408,144.343,78.9671,251.619,-83.7239
409,144.327,78.9862,251.432,-83.7359
410,144.312,79.0052,251.244,-83.7479
411,144.296,79.0243,251.055,-83.7599
412,144.28,79.0434,250.866,-83.7719
413,144.265,79.0625,250.677,-83.7838
414,144.249,79.0816,250.487,-83.7957
415,144.234,79.1007,250.296,-83.8076
416,144.218,79.1199,250.106,-83.8195
417,144.203,79.139,249.914,-83.8313
418,144.187,79.1582,249.723,-83.8431
