,Lon_N,Lat_N,Lon_S,Lat_S
283,141.477,76.5136,269.675,-81.4531
284,141.463,76.5335,269.533,-81.4677
285,141.448,76.5533,269.391,-81.4822
286,141.434,76.5732,269.249,-81.4968
287,141.419,76.5931,269.107,-81.5112
288,141.405,76.6129,268.965,-81.5257
289,141.39,76.6328,268.822,-81.5402
290,141.375,76.6526,268.679,-81.5547
291,141.36,76.6724,268.535,-81.5691
292,141.345,76.6922,268.391,-81.5835
293,141.33,76.7121,268.248,-81.5979
294,141.314,76.7319,268.103,-81.6124
295,141.299,76.7517,267.959,-81.6267
296,141.283,76.7715,267.814,-81.6411
297,141.267,76.7913,267.669,-81.6555
298,141.251,76.8111,267.524,-81.6698
299,141.235,76.8309,267.378,-81.6841
300,141.219,76.8507,267.232,-81.6984
301,141.202,76.8705,267.086,-81.7127
302,141.186,76.8902,266.939,-81.7269
303,141.169,76.91,266.793,-81.7412
304,141.152,76.9298,266.646,-81.7554
305,141.135,76.9496,266.498,-81.7696
306,141.118,76.9693,266.35,-81.7838
307,141.101,76.9891,266.203,-81.798
308,141.084,77.0089,266.054,-81.8122
309,141.066,77.0286,265.906,-81.8263
310,141.048,77.0484,265.757,-81.8404
311,141.031,77.0682,265.608,-81.8545
312,141.013,77.0879,265.458,-81.8686
313,140.995,77.1077,265.309,-81.8827
314,140.976,77.1275,265.158,-81.8967
315,140.958,77.1472,265.008,-81.9107
316,140.94,77.167,264.857,-81.9248
317,140.921,77.1868,264.707,-81.9387
318,140.902,77.2065,264.555,-81.9527
319,140.883,77.2263,264.404,-81.9667
320,140.864,77.2461,264.252,-81.9806
321,140.845,77.2658,264.1,-81.9945
322,140.826,77.2856,263.947,-82.0084
323,140.806,77.3054,263.794,-82.0222
324,140.787,77.3251,263.641,-82.0361
325,140.767,77.3449,263.488,-82.0499
326,140.747,77.3647,263.334,-82.0637
327,140.727,77.3845,263.18,-82.0775
328,140.707,77.4043,263.025,-82.0913
329,140.687,77.424,262.871,-82.105
330,140.666,77.4438,262.716,-82.1187
331,140.646,77.4636,262.56,-82.1324
332,140.625,77.4834,262.404,-82.1461
333,140.604,77.5032,262.248,-82.1597
334,140.583,77.523,262.092,-82.1734
