Lon_euro,Lon_efp,Lat_efp
43.4000,37.7605,-62.2235
43.5000,37.8281,-62.2212
43.6000,37.8957,-62.2189
43.7000,37.9633,-62.2166
43.8000,38.0309,-62.2144
43.9000,38.0985,-62.2122
44.0000,38.166,-62.2101
44.1000,38.2336,-62.2079
44.2000,38.3011,-62.2058
44.3000,38.3687,-62.2037
44.4000,38.4362,-62.2017
44.5000,38.5037,-62.1997
44.6000,38.5712,-62.1977
44.7000,38.6388,-62.1957
44.8000,38.7063,-62.1938
44.9000,38.7738,-62.1919
45.0000,38.8412,-62.1900
45.1000,38.9087,-62.1882
45.2000,38.9762,-62.1863
45.3000,39.0436,-62.1845
45.4000,39.1111,-62.1828
45.5000,39.1785,-62.1810
45.6000,39.246,-62.1793
45.7000,39.3134,-62.1776
45.8000,39.3808,-62.1760
45.9000,39.4483,-62.1743
46.0000,39.5157,-62.1727
46.1000,39.5831,-62.1712
46.2000,39.6505,-62.1696
46.3000,39.7179,-62.1681
46.4000,39.7852,-62.1666
46.5000,39.8526,-62.1651
46.6000,39.92,-62.1637
46.7000,39.9873,-62.1622
46.8000,40.0547,-62.1608
46.9000,40.122,-62.1594
47.0000,40.1894,-62.1581
47.1000,40.2567,-62.1568
47.2000,40.324,-62.1555
47.3000,40.3913,-62.1542
47.4000,40.4586,-62.1530
47.5000,40.5259,-62.1517
47.6000,40.5932,-62.1505
47.7000,40.6605,-62.1494
47.8000,40.7278,-62.1482
47.9000,40.7951,-62.1471
48.0000,40.8623,-62.1460
48.1000,40.9296,-62.1449
48.2000,40.9968,-62.1438
48.3000,41.0641,-62.1428
48.4000,41.1313,-62.1418
48.5000,41.1985,-62.1408
48.6000,41.2657,-62.1399
48.7000,41.333,-62.1389
48.8000,41.4002,-62.1380
48.9000,41.4674,-62.1371
49.0000,41.5346,-62.1363
49.1000,41.6017,-62.1354
49.2000,41.6689,-62.1346
49.3000,41.7361,-62.1338
49.4000,41.8033,-62.1330
49.5000,41.8704,-62.1322
49.6000,41.9376,-62.1315
49.7000,42.0047,-62.1308
49.8000,42.0718,-62.1301
49.9000,42.139,-62.1294
50.0000,42.2061,-62.1288
50.1000,42.2732,-62.1282
50.2000,42.3403,-62.1276
50.3000,42.4074,-62.1270
50.4000,42.4745,-62.1264
50.5000,42.5416,-62.1259
50.6000,42.6087,-62.1254
50.7000,42.6758,-62.1249
50.8000,42.7429,-62.1244
50.9000,42.8099,-62.1239
51.0000,42.877,-62.1235
51.1000,42.9441,-62.1231
51.2000,43.0111,-62.1227
51.3000,43.0781,-62.1223
