Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
232.8,240.716,-75.2638,232.8,200.809,56.5248
232.9,240.844,-75.2533,232.9,200.867,56.5417
233,240.972,-75.2428,233,200.925,56.5586
233.1,241.1,-75.2323,233.1,200.984,56.5756
233.2,241.228,-75.2218,233.2,201.042,56.5925
233.3,241.356,-75.2112,233.3,201.1,56.6095
233.4,241.484,-75.2006,233.4,201.158,56.6265
233.5,241.611,-75.19,233.5,201.217,56.6435
233.6,241.739,-75.1793,233.6,201.275,56.6605
233.7,241.866,-75.1687,233.7,201.333,56.6775
233.8,241.994,-75.158,233.8,201.392,56.6946
233.9,242.121,-75.1473,233.9,201.45,56.7117
234,242.248,-75.1366,234,201.509,56.7288
234.1,242.376,-75.1258,234.1,201.568,56.7459
234.2,242.503,-75.115,234.2,201.626,56.763
234.3,242.63,-75.1042,234.3,201.685,56.7802
234.4,242.757,-75.0934,234.4,201.744,56.7973
234.5,242.884,-75.0826,234.5,201.802,56.8145
234.6,243.01,-75.0717,234.6,201.861,56.8317
234.7,243.137,-75.0608,234.7,201.92,56.8489
234.8,243.264,-75.0499,234.8,201.979,56.8662
234.9,243.39,-75.0389,234.9,202.038,56.8834
235,243.517,-75.028,235,202.097,56.9007
235.1,243.644,-75.017,235.1,202.156,56.918
235.2,243.77,-75.006,235.2,202.215,56.9353
235.3,243.896,-74.995,235.3,202.275,56.9527
235.4,244.022,-74.9839,235.4,202.334,56.97
235.5,244.149,-74.9729,235.5,202.393,56.9874
235.6,244.275,-74.9618,235.6,202.453,57.0048
235.7,244.401,-74.9506,235.7,202.512,57.0222
235.8,244.527,-74.9395,235.8,202.572,57.0396
235.9,244.653,-74.9284,235.9,202.631,57.0571
236,244.779,-74.9172,236,202.691,57.0745
236.1,244.905,-74.906,236.1,202.75,57.092
236.2,245.03,-74.8948,236.2,202.81,57.1095
236.3,245.156,-74.8835,236.3,202.87,57.127
236.4,245.282,-74.8722,236.4,202.93,57.1445
